sample_index,replay_index,stamp_sec,stamp_nanosec,time_sec,frame_id
0,0,1778134297,416955220,1778134297.4169552,camera_link
1,1,1778134298,411476098,1778134298.4114761,camera_link
2,2,1778134299,412789488,1778134299.4127896,camera_link
3,3,1778134300,413521490,1778134300.4135215,camera_link
4,4,1778134301,412056022,1778134301.412056,camera_link
5,5,1778134302,411461716,1778134302.4114618,camera_link
6,6,1778134303,413804917,1778134303.413805,camera_link
7,7,1778134304,411909593,1778134304.4119096,camera_link
8,8,1778134305,416771686,1778134305.4167717,camera_link
9,9,1778134306,417150545,1778134306.4171505,camera_link
10,10,1778134307,420744579,1778134307.4207447,camera_link
11,11,1778134308,420585308,1778134308.4205854,camera_link
12,12,1778134309,420803414,1778134309.4208033,camera_link
13,13,1778134310,421871695,1778134310.4218717,camera_link
14,14,1778134311,420021693,1778134311.4200218,camera_link
15,15,1778134312,423556037,1778134312.423556,camera_link
16,16,1778134313,420032669,1778134313.4200327,camera_link
17,17,1778134314,420660111,1778134314.42066,camera_link
18,18,1778134315,421038338,1778134315.4210384,camera_link
19,19,1778134316,420683258,1778134316.4206831,camera_link
20,20,1778134317,411577273,1778134317.4115772,camera_link
21,21,1778134318,422115976,1778134318.422116,camera_link
22,22,1778134319,418643501,1778134319.4186435,camera_link
23,23,1778134320,420560311,1778134320.4205604,camera_link
24,24,1778134321,450265516,1778134321.4502654,camera_link
25,25,1778134322,419276926,1778134322.419277,camera_link
26,26,1778134323,422469738,1778134323.4224699,camera_link
27,27,1778134324,423390508,1778134324.4233906,camera_link
28,28,1778134325,422053657,1778134325.4220536,camera_link
29,29,1778134326,422347664,1778134326.4223475,camera_link
30,30,1778134327,421883187,1778134327.421883,camera_link
31,31,1778134328,421954456,1778134328.4219544,camera_link
32,32,1778134329,422719374,1778134329.4227195,camera_link
33,33,1778134330,420506791,1778134330.4205067,camera_link
34,34,1778134331,422255161,1778134331.4222553,camera_link
35,35,1778134332,421978836,1778134332.421979,camera_link
36,36,1778134333,422606347,1778134333.4226062,camera_link
37,37,1778134334,422351132,1778134334.4223511,camera_link
38,38,1778134335,422102419,1778134335.4221025,camera_link
39,39,1778134336,422969519,1778134336.4229696,camera_link
40,40,1778134337,422208134,1778134337.422208,camera_link
41,41,1778134338,422379156,1778134338.4223793,camera_link
42,42,1778134339,422369834,1778134339.4223697,camera_link
43,43,1778134340,422272883,1778134340.422273,camera_link
44,44,1778134341,422180582,1778134341.4221807,camera_link
45,45,1778134342,422021977,1778134342.4220219,camera_link
